,Geneid,RI-BR1-21,RI-BR2-21,SI-BR1-21,SI-BR2-21
0,gene:Minc3s09726g43483,0.0,0.0,0.0,0.0
1,gene:Minc3s09726g43484,0.0,0.0,0.0,0.0
2,gene:Minc3s09726g43485,0.0,0.0,0.0,0.0
3,gene:Minc3s00760g16979,0.0,0.0,0.0,0.0
4,gene:Minc3s00760g16980,0.0,0.0,0.0,0.0
5,gene:Minc3s00760g16981,0.0,0.0,0.0,0.0
6,gene:Minc3s00760g16982,2.0,0.0,3.0,2.0
7,gene:Minc3s00760g16983,0.0,0.0,1.0,22.0
8,gene:Minc3s00760g16984,0.0,0.0,0.0,0.0
9,gene:Minc3s06092g39313,0.0,0.0,0.0,0.0
10,gene:Minc3s04522g36466,0.0,0.0,0.0,0.0
11,gene:Minc3s04522g36467,0.0,0.0,0.0,0.0
12,gene:Minc3s00301g09715,0.0,0.0,0.0,0.0
13,gene:Minc3s00301g09716,0.0,0.0,0.0,0.0
14,gene:Minc3s00301g09717,0.0,0.0,0.0,5.0
15,gene:Minc3s00301g09718,0.0,3.0,3.0,13.0
16,gene:Minc3s00301g09719,0.0,1.0,0.0,0.0
17,gene:Minc3s00301g09720,0.0,0.0,0.0,0.0
18,gene:Minc3s00301g09721,0.0,0.0,0.0,4.0
19,gene:Minc3s00301g09722,0.0,0.0,0.0,0.0
20,gene:Minc3s00301g09723,0.0,0.0,0.0,5.0
21,gene:Minc3s00301g09724,0.0,2.0,0.0,11.0
22,gene:Minc3s00301g09725,0.0,0.0,0.0,0.0
23,gene:Minc3s00301g09726,0.0,0.0,0.0,0.0
24,gene:Minc3s00301g09727,0.0,0.0,0.0,0.0
25,gene:Minc3s00301g09728,0.0,1.0,1.0,0.0
26,gene:Minc3s00301g09729,0.0,0.0,0.0,0.0
27,gene:Minc3s00301g09730,0.0,4.0,0.0,0.0
28,gene:Minc3s00301g09731,1.0,0.0,0.0,0.0
29,gene:Minc3s00301g09732,0.0,1.0,0.0,0.0
30,gene:Minc3s00301g09733,0.0,0.0,0.0,0.0
31,gene:Minc3s00301g09734,0.0,0.0,0.0,0.0
32,gene:Minc3s00301g09735,0.0,0.0,0.0,0.0
33,gene:Minc3s00967g19391,0.0,1.0,0.0,1.0
34,gene:Minc3s00967g19392,6.0,17.0,10.0,178.0
35,gene:Minc3s00967g19393,0.0,0.0,0.0,0.0
36,gene:Minc3s00967g19394,0.0,2.0,0.0,4.0
37,gene:Minc3s00967g19395,0.0,0.0,0.0,1.0
38,gene:Minc3s00967g19396,0.0,0.0,0.0,0.0
39,gene:Minc3s00967g19397,0.0,0.0,0.0,0.0
40,gene:Minc3s00967g19398,0.0,0.0,2.0,0.0
41,gene:Minc3s00967g19399,0.0,0.0,0.0,1.0
42,gene:Minc3s00967g19400,0.0,1.0,0.0,0.0
43,gene:Minc3s00967g19401,0.0,1.0,1.0,1.0
44,gene:Minc3s00967g19402,0.0,0.0,0.0,0.0
45,gene:Minc3s00967g19403,0.0,0.0,0.0,0.0
46,gene:Minc3s00967g19404,0.0,0.0,0.0,0.0
47,gene:Minc3s02221g28943,0.0,0.0,0.0,0.0
48,gene:Minc3s02221g28944,0.0,0.0,0.0,0.0
49,gene:Minc3s02221g28945,0.0,0.0,0.0,0.0
50,gene:Minc3s05593g38495,0.0,5.0,0.0,1.0
51,gene:Minc3s05593g38496,0.0,0.0,0.0,0.0
52,gene:Minc3s08740g42548,0.0,0.0,0.0,0.0
53,gene:Minc3s11599g44999,0.0,0.0,0.0,0.0
54,gene:Minc3s06804g40340,0.0,0.0,0.0,5.0
55,gene:Minc3s06804g40341,0.0,0.0,0.0,10.0
56,gene:Minc3s06804g40342,0.0,0.0,0.0,0.0
57,gene:Minc3s06804g40343,0.0,0.0,0.0,1.0
58,gene:Minc3s04492g36397,0.0,0.0,0.0,8.0
59,gene:Minc3s04492g36398,0.0,0.0,1.0,8.0
60,gene:Minc3s02672g31132,0.0,0.0,0.0,0.0
61,gene:Minc3s02672g31133,0.0,0.0,0.0,0.0
62,gene:Minc3s02672g31134,0.0,0.0,0.0,0.0
63,gene:Minc3s02672g31135,0.0,0.0,0.0,0.0
64,gene:Minc3s03334g33547,0.0,0.0,0.0,0.0
65,gene:Minc3s11307g44792,0.0,0.0,0.0,1.0
66,gene:Minc3s12042g45323,0.0,10.0,1.0,26.0
67,gene:Minc3s05531g38377,0.0,3.0,4.0,5.0
68,gene:Minc3s05531g38378,0.0,0.0,0.0,0.0
69,gene:Minc3s05531g38379,0.0,0.0,0.0,0.0
70,gene:Minc3s01587g24933,0.0,0.0,0.0,0.0
71,gene:Minc3s01587g24934,0.0,0.0,1.0,4.0
72,gene:Minc3s01587g24935,0.0,0.0,0.0,0.0
73,gene:Minc3s01587g24936,0.0,0.0,0.0,0.0
74,gene:Minc3s01587g24937,0.0,0.0,0.0,0.0
75,gene:Minc3s05254g37882,0.0,0.0,1.0,5.0
76,gene:Minc3s05254g37883,0.0,0.0,0.0,6.0
77,gene:Minc3s02337g29532,0.0,0.0,1.0,2.0
78,gene:Minc3s02337g29533,2.0,0.0,0.0,13.0
79,gene:Minc3s02337g29534,0.0,2.0,1.0,3.0
80,gene:Minc3s02337g29535,0.0,0.0,0.0,0.0
81,gene:Minc3s02337g29536,0.0,0.0,0.0,2.0
82,gene:Minc3s02337g29537,0.0,0.0,0.0,0.0
83,gene:Minc3s02337g29538,0.0,0.0,0.0,0.0
84,gene:Minc3s02337g29539,0.0,0.0,0.0,0.0
85,gene:Minc3s02337g29540,0.0,0.0,0.0,0.0
86,gene:Minc3s02337g29541,0.0,0.0,0.0,0.0
87,gene:Minc3s02337g29542,0.0,0.0,0.0,2.0
88,gene:Minc3s03943g35184,0.0,0.0,0.0,0.0
89,gene:Minc3s01773g26193,0.0,0.0,0.0,1.0
90,gene:Minc3s01773g26194,0.0,0.0,0.0,0.0
91,gene:Minc3s01773g26195,0.0,0.0,0.0,0.0
92,gene:Minc3s01773g26196,0.0,15.0,0.0,0.0
93,gene:Minc3s09297g43089,0.0,0.0,0.0,0.0
94,gene:Minc3s04996g37401,0.0,0.0,1.0,2.0
95,gene:Minc3s04996g37402,0.0,0.0,0.0,0.0
96,gene:Minc3s08495g42309,0.0,0.0,0.0,0.0
97,gene:Minc3s08495g42310,0.0,0.0,0.0,0.0
98,gene:Minc3s11330g44809,0.0,0.0,0.0,0.0
99,gene:Minc3s01963g27463,0.0,0.0,0.0,0.0
100,gene:Minc3s01963g27464,0.0,0.0,0.0,0.0
101,gene:Minc3s01963g27465,0.0,1.0,0.0,0.0
102,gene:Minc3s01963g27466,0.0,3.0,1.0,19.0
103,gene:Minc3s01963g27467,0.0,0.0,0.0,0.0
104,gene:Minc3s00708g16365,0.0,1.0,0.0,1.0
105,gene:Minc3s00708g16366,2.0,0.0,2.0,26.0
106,gene:Minc3s00708g16367,0.0,2.0,0.0,1.0
107,gene:Minc3s00708g16368,0.0,0.0,0.0,0.0
108,gene:Minc3s00708g16369,0.0,0.0,0.0,0.0
109,gene:Minc3s00708g16370,0.0,0.0,0.0,5.0
110,gene:Minc3s00708g16371,0.0,0.0,1.0,2.0
111,gene:Minc3s00708g16372,0.0,0.0,0.0,0.0
112,gene:Minc3s00708g16373,4.0,3.0,17.0,69.0
113,gene:Minc3s00708g16374,0.0,0.0,1.0,3.0
114,gene:Minc3s00708g16375,0.0,0.0,0.0,0.0
115,gene:Minc3s00708g16376,0.0,0.0,0.0,0.0
116,gene:Minc3s00708g16377,0.0,0.0,0.0,7.0
117,gene:Minc3s00708g16378,0.0,1.0,2.0,4.0
118,gene:Minc3s00708g16379,0.0,0.0,1.0,0.0
119,gene:Minc3s00708g16380,0.0,0.0,0.0,0.0
120,gene:Minc3s00708g16381,0.0,0.0,0.0,0.0
121,gene:Minc3s00708g16382,0.0,0.0,0.0,2.0
122,gene:Minc3s00708g16383,0.0,0.0,0.0,0.0
123,gene:Minc3s06948g40528,0.0,0.0,3.0,2.0
124,gene:Minc3s00491g13212,1.0,32.0,7.0,54.0
125,gene:Minc3s00491g13213,0.0,0.0,0.0,0.0
126,gene:Minc3s00491g13214,0.0,1.0,0.0,0.0
127,gene:Minc3s00491g13215,0.0,1.0,1.0,2.0
128,gene:Minc3s00491g13216,0.0,0.0,0.0,3.0
129,gene:Minc3s00491g13217,0.0,0.0,0.0,0.0
130,gene:Minc3s00491g13218,0.0,0.0,0.0,0.0
131,gene:Minc3s00491g13219,0.0,0.0,0.0,1.0
132,gene:Minc3s00491g13220,0.0,0.0,0.0,0.0
133,gene:Minc3s00491g13221,0.0,0.0,1.0,28.0
134,gene:Minc3s00491g13222,0.0,0.0,0.0,0.0
135,gene:Minc3s00491g13223,0.0,0.0,0.0,0.0
136,gene:Minc3s00491g13224,0.0,0.0,0.0,0.0
137,gene:Minc3s00491g13225,0.0,0.0,0.0,16.0
138,gene:Minc3s00491g13226,0.0,3.0,2.0,5.0
139,gene:Minc3s00491g13227,0.0,1.0,3.0,18.0
140,gene:Minc3s00491g13228,0.0,0.0,0.0,1.0
141,gene:Minc3s00491g13229,0.0,1.0,5.0,41.0
142,gene:Minc3s00491g13230,0.0,3.0,0.0,0.0
143,gene:Minc3s00491g13231,0.0,0.0,0.0,0.0
144,gene:Minc3s00491g13232,1.0,0.0,0.0,4.0
145,gene:Minc3s00491g13233,0.0,0.0,0.0,0.0
146,gene:Minc3s05978g39128,0.0,0.0,0.0,1.0
147,gene:Minc3s05978g39129,0.0,0.0,0.0,0.0
148,gene:Minc3s08090g41888,0.0,0.0,0.0,2.0
149,gene:Minc3s09985g43684,0.0,0.0,0.0,0.0
150,gene:Minc3s07143g40773,0.0,0.0,0.0,0.0
151,gene:Minc3s10400g44049,0.0,0.0,0.0,0.0
152,gene:Minc3s06136g39391,0.0,0.0,0.0,0.0
153,gene:Minc3s06136g39392,0.0,0.0,0.0,0.0
154,gene:Minc3s00557g14250,0.0,0.0,0.0,3.0
155,gene:Minc3s00557g14251,0.0,3.0,1.0,7.0
156,gene:Minc3s00557g14252,0.0,0.0,0.0,2.0
157,gene:Minc3s00557g14253,0.0,0.0,0.0,0.0
158,gene:Minc3s00557g14254,0.0,1.0,0.0,0.0
159,gene:Minc3s00557g14255,1.0,1.0,0.0,2.0
160,gene:Minc3s00557g14256,0.0,4.0,2.0,5.0
161,gene:Minc3s00557g14257,0.0,2.0,0.0,4.0
162,gene:Minc3s00557g14258,0.0,2.0,0.0,4.0
163,gene:Minc3s00557g14259,0.0,0.0,0.0,0.0
164,gene:Minc3s00557g14260,0.0,0.0,0.0,0.0
165,gene:Minc3s00557g14261,0.0,0.0,0.0,0.0
166,gene:Minc3s10797g44370,0.0,0.0,0.0,0.0
167,gene:Minc3s05092g37576,0.0,0.0,0.0,0.0
168,gene:Minc3s05092g37577,0.0,0.0,0.0,0.0
169,gene:Minc3s10886g44441,0.0,0.0,0.0,0.0
170,gene:Minc3s10024g43722,0.0,0.0,0.0,1.0
171,gene:Minc3s03350g33589,0.0,0.0,0.0,0.0
